loc_name,dc_city,division_name,dept_name,family_name,class_name,item,item_desc,av_cost,min_stock,max_stock,in_transit_qty,default_wh,tabc,item_status,rtv_nrtv,stock_on_hand,total_soh,total_value,date,family_name
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,Shaving,womens Blades,100802685,Gillette Venus Breez Cart 2 Nos Blister Pk,292.3723,0,0,0,121,,ACTIVE,NRTV,1,1,292.3723,2023-03-13,Shaving
SM Vijayawada NBS Ongole,Vijayawada,Fresh,Seafood & Meat,Poultry,Chilled Poultry,100273991,Chicken Lollypop 500gm,133.86,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Poultry
SM Vijayawada NBS Ongole,Vijayawada,Staples,Spices-Dry Fruits & Organics,Spices and Dry Fruits,Dry Fruits,101393920,Apis Arabian Pearls Fard Dates 250 gm Pouch,70.1949,3,3,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Spices and Dry Fruits
SM Vijayawada NBS Ongole,Vijayawada,General Merchandise,Home Needs & Home Upkeep,Home Upkeep,Cleaning Accessories,100005944,Gala Plastic Floor Wiper,135.47,0,0,0,121,,ACTIVE,NRTV,1,1,135.47,2023-03-13,Home Upkeep
SM Vijayawada NBS Ongole,Vijayawada,BDF,Bakery,Rusk & Khari,Khari,101814647,More Fresh Masala Khari 180 gm Pack,21.2791,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,Rusk & Khari
SM Vijayawada NBS Ongole,Vijayawada,Fresh,F&V,Vegetables,Pre-pack,100685440,Cucumber Color 300gm Packed,5,,,0,121,,PURCHASE BLOCKED,NRTV,0,0,0,2023-03-13,Vegetables
SM Vijayawada NBS Ongole,Vijayawada,BDF,Frozen & Dairy,Ice Cream and Dessert,Take Home,101062020,Kwality WallsChocolate700 ml Party Pack,100.7415,,,0,121,,ACTIVE,RTV,13,13,1309.6395,2023-03-13,Ice Cream and Dessert
SM Vijayawada NBS Ongole,Vijayawada,Grocery Non Food,Personal Care & Cosmetics,OTC,Fitness/ Wellness,100152540,Hamdard Roghan Badam Shirin 50 ml,127.578,,,0,121,,ACTIVE,NRTV,0,0,0,2023-03-13,OTC
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Confectionery,Indian Confectionery and Sweet,101872349,Karchi Bakery Milk Mysore Pak 200G,58.5714,2,2,0,121,,ACTIVE,NRTV,6,6,351.4284,2023-03-13,Confectionery
SM Vijayawada NBS Ongole,Vijayawada,Grocery Food,Processed Food,Biscuit,Wafer Biscuit,100905193,Dukes Waffy Dispenser Orange 480 gm Big Pack,71.3898,,,0,121,,ACTIVE,RTV,0,0,0,2023-03-13,Biscuit
